		DROP	Slider_1	Checkbox_1	DROP	Slider_2	DROP		DROP	Latitude	Longitude	DROP	DROP	Category_color
United States	Palo Verde nuclear power plant	3	1414	operating	CE80 2LP (DRYAMB)	1988	NA	Arizona Public Service CO	Arizona Public Service CO	33.3881	-112.8617	NA	Arizona	pressurized water reactor
United States	Fort St. Vrain nuclear power plant	NA	342	retired	unknown	1979	1989	NA	Public Service Company of Colorado (PSCo)	40.2453	-104.8742	NA	Colorado	other
United States	Comanche Peak nuclear power plant	1	1259	operating	WH 4LP (DRYAMB)	1990	NA	Luminant Generation Company LLC	Luminant Generation CO LLC	32.2984	-97.7855	NA	Texas	pressurized water reactor
United States	Comanche Peak nuclear power plant	2	1250	operating	WH 4LP (DRYAMB)	1993	NA	Luminant Generation Company LLC	Luminant Generation CO LLC	32.2984	-97.7855	NA	Texas	pressurized water reactor
United States	Hallam nuclear power plant	NA	84	retired	LMGMR	1963	1964	Hallam Nuclear Power Facility	Atomic Energy Commission And Nebraska Public Power District	40.55901	-96.7848	NA	Nebraska	other
United States	Pathfinder nuclear power plant	NA	63	retired	Prototype	1966	1967	Xcel Energy	Nuclear Management CO	43.6036	-96.6375	NA	South Dakota	boiling water reactor
Mexico	Laguna Verde nuclear power plant	1	805	operating	BWR-5	1990	NA	Comision Federal De Electricidad	Comision Federal De Electricidad	19.7208	-96.4064	NA	Veracruz	boiling water reactor
Mexico	Laguna Verde nuclear power plant	2	803	operating	BWR-5	1995	NA	Comision Federal De Electricidad	Comision Federal De Electricidad	19.7208	-96.4064	NA	Veracruz	boiling water reactor
United States	Fort Calhoun nuclear power plant	1	512	retired	CE 2LP	1973	2016	Omaha Public Power District	Exelon Generation CO LLC	41.5182	-96.0775	NA	Nebraska	pressurized water reactor
United States	South Texas nuclear power plant	1	1354	operating	WH 4LP (DRYAMB)	1988	NA	Constellation Energy [44%]; CPS Energy [40%]; Austin Energy [16%]	STP Nuclear Operating CO	28.79501	-96.0481	NA	Texas	pressurized water reactor
United States	South Texas nuclear power plant	2	1354	operating	WH 4LP (DRYAMB)	1989	NA	Constellation Energy [44%]; CPS Energy [40%]; Austin Energy [16%]	STP Nuclear Operating CO	28.79501	-96.0481	NA	Texas	pressurized water reactor
United States	Wolf Creek nuclear power plant	NA	1285	operating	WH 4LP (DRYAMB)	1985	NA	Kansas City Power & Light CO	Wolf Creek Nuclear Operating CORP	38.2393	-95.6898	NA	Kansas	pressurized water reactor
United States	Cooper nuclear power plant	NA	801	operating	BWR-4 (Mark 1)	1974	NA	Nebraska Public Power District	Entergy Nuclear Operations INC	40.3628	-95.6408	NA	Nebraska	boiling water reactor
United States	Monticello nuclear power plant	NA	691	operating	BWR-3 (Mark 1)	1971	NA	Xcel Energy	Northern States Power CO	45.3338	-93.8493	NA	Minnesota	boiling water reactor
United States	Elk River nuclear power plant	NA	24	retired	unknown	1964	1968	US Department of Energy	Rural Cooperative Power Association	45.2963	-93.5555	NA	Minnesota	boiling water reactor
United States	Arkansas Nuclear One nuclear power plant	1	903	operating	B&W LLP (DRYAMB)	1974	NA	Entergy Arkansas INC	Entergy Nuclear Operations INC	35.311	-93.2351	NA	Arkansas	pressurized water reactor
United States	Arkansas Nuclear One nuclear power plant	2	1065	operating	CE 2LP (DRYAMB)	1980	NA	Entergy Arkansas INC	Entergy Nuclear Operations INC	35.311	-93.2351	NA	Arkansas	pressurized water reactor
United States	Prairie Island nuclear power plant	1	566	operating	WH 2LP (DRYAMB)	1973	NA	Xcel Energy	Northern States Power CO	44.622	-92.6333	NA	Minnesota	pressurized water reactor
United States	Prairie Island nuclear power plant	2	560	operating	WH 2LP (DRYAMB)	1974	NA	Xcel Energy	Northern States Power CO	44.622	-92.6333	NA	Minnesota	pressurized water reactor
United States	Callaway nuclear power plant	1	1275	operating	WH 4LP (DRYAMB)	1984	NA	Ameren UE; Union Electric CO	Ameren UE; Union Electric CO	38.7589	-91.7788	NA	Missouri	pressurized water reactor
United States	Duane Arnold nuclear power plant	1	624	retired	BWR-4 (Mark 1)	1975	2020	Nextera Energy Resources LLC	Nextera Energy Resources LLC	42.1011	-91.7781	NA	Iowa	boiling water reactor
United States	River Bend nuclear power plant	1	1016	operating	BWR-6 (Mark 3)	1986	NA	Entergy Gulf States INC	Entergy Nuclear Operations INC	30.757	-91.3327	NA	Louisiana	boiling water reactor
United States	Lacrosse nuclear power plant	NA	55	retired	unknown	1969	1987	NA	Dairyland Power Cooperative	43.5601	-91.2316	NA	Wisconsin	boiling water reactor
United States	Grand Gulf nuclear power plant	1	1500	operating	BWR-6 (Mark 3)	1985	NA	Systems Energy Resources INC	Entergy Nuclear Operations INC	32.0081	-91.0478	NA	Mississippi	boiling water reactor
United States	Waterford nuclear power plant	3	1250	operating	CE 2LP (DRYAMB)	1985	NA	Entergy Louisiana INC	Entergy Nuclear Operations INC	29.9953	-90.4716	NA	Louisiana	pressurized water reactor
United States	Quad Cities nuclear power plant	1	940	operating	BWR-3 (Mark 1)	1973	NA	Exelon [75%]; Midamerican Energy [25%]	Exelon Generation CO LLC	41.7261	-90.3103	NA	Illinois	boiling water reactor
United States	Quad Cities nuclear power plant	2	940	operating	BWR-3 (Mark 1)	1973	NA	Exelon [75%]; Midamerican Energy [25%]	Exelon Generation CO LLC	41.7261	-90.3103	NA	Illinois	boiling water reactor
United States	Byron nuclear power plant	1	1242	operating	WH 4LP (DRYAMB)	1985	NA	Exelon	Exelon Generation CO LLC	42.0742	-89.2819	NA	Illinois	pressurized water reactor
United States	Byron nuclear power plant	2	1210	operating	WH 4LP (DRYAMB)	1987	NA	Exelon	Exelon Generation CO LLC	42.0742	-89.2819	NA	Illinois	pressurized water reactor
United States	Clinton nuclear power plant	1	1098	operating	BWR-6 (Mark 3)	1987	NA	Exelon	Exelon Generation CO LLC	40.1719	-88.8339	NA	Illinois	boiling water reactor
United States	LaSalle nuclear power plant	1	1207	operating	BWR-5 (Mark 2)	1984	NA	Exelon	Exelon Generation CO LLC	41.2455	-88.6691	NA	Illinois	boiling water reactor
United States	LaSalle nuclear power plant	2	1207	operating	BWR-5 (Mark 2)	1984	NA	Exelon	Exelon Generation CO LLC	41.2455	-88.6691	NA	Illinois	boiling water reactor
United States	Dresden nuclear power plant	1	207	retired	unknown	1960	1978	NA	Exelon Generation CO LLC	41.3901	-88.2701	NA	Illinois	boiling water reactor
United States	Dresden nuclear power plant	2	950	operating	BWR-3 (Mark 1)	1970	NA	Exelon	Exelon Generation CO LLC	41.3901	-88.2701	NA	Illinois	boiling water reactor
United States	Dresden nuclear power plant	3	935	operating	BWR-3 (Mark 1)	1971	NA	Exelon	Exelon Generation CO LLC	41.3901	-88.2701	NA	Illinois	boiling water reactor
United States	Braidwood nuclear power plant	1	1270	operating	WH 4LP (DRYAMB)	1988	NA	Exelon	Exelon Generation CO LLC	41.2435	-88.2286	NA	Illinois	pressurized water reactor
United States	Braidwood nuclear power plant	2	1230	operating	WH 4LP (DRYAMB)	1988	NA	Exelon	Exelon Generation CO LLC	41.2435	-88.2286	NA	Illinois	pressurized water reactor
United States	Experimental Boiling Water Reactor nuclear power plant	1	5	retired	unknown	1956	1967	US Department of Energy	Argonne National Laboratory-West	41.71944	-87.9891	NA	Illinois	other
United States	Zion nuclear power plant	1	1085	retired	WH 4LP	1973	1998	Exelon Generation CO LLC	Exelon Generation CO LLC	42.4461	-87.8028	NA	Illinois	pressurized water reactor
United States	Zion nuclear power plant	2	1085	retired	WH 4LP	1974	1998	Exelon Generation CO LLC	Exelon Generation CO LLC	42.4461	-87.8028	NA	Illinois	pressurized water reactor
United States	Point Beach nuclear power plant	1	640	operating	WH 2LP (DRYAMB)	1970	NA	Nextera Energy Resources LLC	Nextera Energy Resources LLC	44.2806	-87.5369	NA	Wisconsin	pressurized water reactor
United States	Point Beach nuclear power plant	2	640	operating	WH 2LP (DRYAMB)	1972	NA	Nextera Energy Resources LLC	Nextera Energy Resources LLC	44.2806	-87.5369	NA	Wisconsin	pressurized water reactor
United States	Kewaunee nuclear power plant	NA	595	retired	WH 2LP (DRYAMB)	1974	2013	Dominion Energy	Dominion Energy	44.3426	-87.5357	NA	Wisconsin	pressurized water reactor
United States	Browns Ferry nuclear power plant	1	1256	operating	BWR-4 (Mark 1)	1974	NA	Tennessee Valley Authority (TVA)	Tennessee Valley Authority (TVA)	34.7042	-87.1189	NA	Alabama	boiling water reactor
United States	Browns Ferry nuclear power plant	2	1259	operating	BWR-4 (Mark 1)	1975	NA	Tennessee Valley Authority (TVA)	Tennessee Valley Authority (TVA)	34.7042	-87.1189	NA	Alabama	boiling water reactor
United States	Browns Ferry nuclear power plant	3	1260	operating	BWR-4 (Mark 1)	1977	NA	Tennessee Valley Authority (TVA)	Tennessee Valley Authority (TVA)	34.7042	-87.1189	NA	Alabama	boiling water reactor
United States	Donald C Cook nuclear power plant	1	1131	operating	WH 4LP (ICECDN)	1975	NA	American Electric Power CO INC	American Electric Power Company INC	41.9756	-86.5652	NA	Michigan	pressurized water reactor
United States	Donald C Cook nuclear power plant	2	1231	operating	WH 4LP (ICECDN)	1978	NA	American Electric Power CO INC	American Electric Power Company INC	41.9756	-86.5652	NA	Michigan	pressurized water reactor
United States	Palisades nuclear power plant	NA	850	retired	CE 2LP (DRYAMB)	1971	2022	Entergy Nuclear Operations INC	Entergy Nuclear Operations INC	42.323	-86.3146	NA	Michigan	pressurized water reactor
United States	Big Rock Point nuclear power plant	NA	71	retired	unknown	1963	1997	Consumers Power CO	Consumers Power CO	45.3576	-85.2002	NA	Michigan	boiling water reactor
United States	Joseph M Farley nuclear power plant	1	918	operating	WH 3LP (DRYAMB)	1977	NA	Alabama Power	Southern Nuclear Operating Company INC	31.2231	-85.1116	NA	Alabama	pressurized water reactor
United States	Joseph M Farley nuclear power plant	2	928	operating	WH 3LP (DRYAMB)	1981	NA	Alabama Power	Southern Nuclear Operating Company INC	31.2231	-85.1116	NA	Alabama	pressurized water reactor
United States	Sequoyah nuclear power plant	1	1221	operating	WH 4LP (ICECND)	1981	NA	Tennessee Valley Authority (TVA)	Tennessee Valley Authority (TVA)	35.2267	-85.0917	NA	Tennessee	pressurized water reactor
United States	Sequoyah nuclear power plant	2	1200	operating	WH 4LP (ICECND)	1982	NA	Tennessee Valley Authority (TVA)	Tennessee Valley Authority (TVA)	35.2267	-85.0917	NA	Tennessee	pressurized water reactor
United States	Watts Bar nuclear power plant	2	1218	operating	WH 4LP (ICECND)	2016	NA	Tennessee Valley Authority (TVA)	Tennessee Valley Authority (TVA)	35.6015	-84.7909	NA	Tennessee	pressurized water reactor
United States	Watts Bar nuclear power plant	1	1210	operating	WH 4LP (ICECND)	1996	NA	Tennessee Valley Authority (TVA)	Tennessee Valley Authority (TVA)	35.6021	-84.7895	NA	Tennessee	pressurized water reactor
United States	Piqua nuclear power plant	NA	12	retired	OCM (Organically Cooled and Moderated Reactor)	1963	1966	US Atomic Energy Commission	City Of Piqua Government	40.1319	-84.2348	NA	Ohio	other
United States	Fermi nuclear power plant	1	65	retired	Liquid Metal FBR	1966	1972	Power Reactor Development Company (PRDC) (Consortium Of 34 Public Utilities)	Detroit Edison CO	41.96031	-83.2577	NA	Michigan	other
United States	Fermi nuclear power plant	2	1198	operating	BWR-4 (Mark 1)	1988	NA	DTE Energy CO	Detroit Edison CO	41.96278	-83.2575	NA	Michigan	boiling water reactor
United States	Davis Besse nuclear power plant	1	925	operating	B&W RLP (DRYAMB)	1978	NA	Cleveland Electric Illuminating CO	First Energy Nuclear Operating CO	41.5967	-83.0861	NA	Ohio	pressurized water reactor
United States	Oconee nuclear power plant	1	891	operating	B&W LLP (DRYAMB)	1973	NA	Duke Energy CORP	Duke Energy CORP	34.7939	-82.8986	NA	South Carolina	pressurized water reactor
United States	Oconee nuclear power plant	2	891	operating	B&W LLP (DRYAMB)	1974	NA	Duke Energy CORP	Duke Energy CORP	34.7939	-82.8986	NA	South Carolina	pressurized water reactor
United States	Oconee nuclear power plant	3	900	operating	B&W LLP (DRYAMB)	1974	NA	Duke Energy CORP	Duke Energy CORP	34.7939	-82.8986	NA	South Carolina	pressurized water reactor
United States	Crystal River nuclear power plant	3	890	retired	B&W LLP (DRYAMB)	1977	2013	Duke Energy CORP	Progress Energy	28.9578	-82.6983	NA	Florida	pressurized water reactor
United States	Edwin I Hatch nuclear power plant	1	911	operating	BWR-4 (Mark 1)	1975	NA	Georgia Power CO	Southern Nuclear Operating Company INC	31.9342	-82.3447	NA	Georgia	boiling water reactor
United States	Edwin I Hatch nuclear power plant	2	921	operating	BWR-4 (Mark 1)	1979	NA	Georgia Power CO	Southern Nuclear Operating Company INC	31.9342	-82.3447	NA	Georgia	boiling water reactor
United States	Alvin W Vogtle nuclear power plant	1	1229	operating	WH 4LP (DRYAMB)	1987	NA	Georgia Power CO	Southern Nuclear Operating Company INC	33.13001	-81.7729	NA	Georgia	pressurized water reactor
United States	Alvin W Vogtle nuclear power plant	2	1229	operating	WH 4LP (DRYAMB)	1989	NA	Georgia Power CO	Southern Nuclear Operating Company INC	33.13001	-81.7729	NA	Georgia	pressurized water reactor
United States	Alvin W Vogtle nuclear power plant	3	1250	operating	AP-1000	2023	NA	Georgia Power CO	Southern Nuclear Operating Company INC	33.1429	-81.7681	NA	Georgia	pressurized water reactor
Canada	Bruce nuclear power plant	B6	891	operating	CANDU 750B	1984	2064	Ontario Power Generation	Bruce Power	44.319	-81.6027	Southwestern Ontario	Ontario	pressurized heavy water reactor
Canada	Bruce nuclear power plant	B5	872	operating	CANDU 750B	1985	2064	Ontario Power Generation	Bruce Power	44.319	-81.6027	Southwestern Ontario	Ontario	pressurized heavy water reactor
Canada	Bruce nuclear power plant	B7	872	operating	CANDU 750B	1986	2064	Ontario Power Generation	Bruce Power	44.319	-81.6027	Southwestern Ontario	Ontario	pressurized heavy water reactor
Canada	Bruce nuclear power plant	B8	872	operating	CANDU 750B	1987	2064	Ontario Power Generation	Bruce Power	44.319	-81.6027	Southwestern Ontario	Ontario	pressurized heavy water reactor
Canada	Douglas Point (AECL) nuclear power plant	NA	218	retired	CANDU 200	1968	1984	Atomic Energy Of Canada LTD	Ontario Hydro	44.3265	-81.6006	Southwestern Ontario	Ontario	pressurized heavy water reactor
Canada	Bruce nuclear power plant	A1	868	operating	CANDU 791	1977	2042	Ontario Power Generation	Bruce Power	44.3391	-81.5747	Southwestern Ontario	Ontario	pressurized heavy water reactor
Canada	Bruce nuclear power plant	A2	836	operating	CANDU 791	1977	2043	Ontario Power Generation	Bruce Power	44.3391	-81.5747	Southwestern Ontario	Ontario	pressurized heavy water reactor
Canada	Bruce nuclear power plant	A3	865	operating	CANDU 750A	1978	2064	Ontario Power Generation	Bruce Power	44.3391	-81.5747	Southwestern Ontario	Ontario	pressurized heavy water reactor
Canada	Bruce nuclear power plant	A4	868	operating	CANDU 750A	1979	2064	Ontario Power Generation	Bruce Power	44.3391	-81.5747	Southwestern Ontario	Ontario	pressurized heavy water reactor
United States	Carolinas-Virginia Tube Reactor nuclear power plant	NA	19	retired	Prototype	1963	1967	Carolinas-Virginia Nuclear Power Association	Carolinas-Virginia Nuclear Power Association	34.2625	-81.3292	NA	South Carolina	pressurized heavy water reactor
United States	Virgil C Summer nuclear power plant	1	1006	operating	WH 3LP (DRYAMB)	1984	NA	South Carolina Electric & Gas CO	South Carolina Electric & Gas CO	34.2983	-81.3153	NA	South Carolina	pressurized water reactor
United States	Perry nuclear power plant	1	1303	operating	BWR-6 (Mark 3)	1987	NA	Cleveland Electric Illuminating CO	First Energy Nuclear Operating CO	41.8006	-81.1439	NA	Ohio	boiling water reactor
United States	Catawba nuclear power plant	1	1188	operating	WH 4LP (ICECND)	1985	NA	North Carolina Electric Membership CO	Duke Energy CORP	35.0514	-81.0694	NA	South Carolina	pressurized water reactor
United States	Catawba nuclear power plant	2	1188	operating	WH 4LP (ICECND)	1986	NA	North Carolina Municipal Power Agency No.1	Duke Energy CORP	35.0514	-81.0694	NA	South Carolina	pressurized water reactor
United States	McGuire nuclear power plant	1	1215	operating	WH 4LP (ICECND)	1981	NA	Duke Energy CORP	Duke Energy CORP	35.4331	-80.9486	NA	North Carolina	pressurized water reactor
United States	McGuire nuclear power plant	2	1215	operating	WH 4LP (ICECND)	1984	NA	Duke Energy CORP	Duke Energy CORP	35.4331	-80.9486	NA	North Carolina	pressurized water reactor
United States	Shippingport nuclear power plant	NA	68	retired	PLWBR	1958	1982	Department Of Energy And Duquesne Light CO	Department Of Energy And Duquesne Light CO	40.6211	-80.4353	NA	Pennsylvania	pressurized water reactor
United States	Beaver Valley nuclear power plant	1	959	operating	WH 3LP (DRYSUB)	1976	NA	PPL Susquehanna LLC	First Energy Nuclear Operating CO	40.6219	-80.4336	NA	Pennsylvania	pressurized water reactor
United States	Beaver Valley nuclear power plant	2	958	operating	WH 3LP (DRYSUB)	1987	NA	Ohio Edison CO	First Energy Nuclear Operating CO	40.6219	-80.4336	NA	Pennsylvania	pressurized water reactor
United States	Turkey Point power station	3	829	operating	WH 3LP (DRYAMB)	1972	NA	Florida Power & Light CO	Florida Power & Light CO	25.43448	-80.3324	NA	Florida	pressurized water reactor
United States	Turkey Point power station	4	829	operating	WH 3LP (DRYAMB)	1973	NA	Florida Power & Light CO	Florida Power & Light CO	25.43448	-80.3324	NA	Florida	pressurized water reactor
United States	St. Lucie nuclear power plant	1	1045	operating	CE 2LP (DRYAMB)	1976	NA	Florida Power & Light CO	Florida Power & Light CO	27.3486	-80.2464	NA	Florida	pressurized water reactor
United States	St. Lucie nuclear power plant	2	1050	operating	CE 2LP (DRYAMB)	1983	NA	Florida Power & Light CO	Florida Power & Light CO	27.3486	-80.2464	NA	Florida	pressurized water reactor
United States	H. B. Robinson nuclear power plant	2	780	operating	WH 3LP (DRYAMB)	1971	NA	Progress Energy Carolinas INC	Progress Energy	34.4017	-80.1589	NA	South Carolina	pressurized water reactor
Panama	MH-1A nuclear power plant	NA	10	retired	unknown	1968	1977	Department of Defense; US Army Corps of Engineers	NA	9.2647	-79.92701	NA	Colón	pressurized water reactor
Canada	Pickering nuclear power plant	A1	542	operating	CANDU 500A	1971	NA	Ontario Power Generation	Ontario Power Generation	43.8107	-79.0689	Golden Horseshoe	Ontario	pressurized heavy water reactor
Canada	Pickering nuclear power plant	A2	542	retired	CANDU 500A	1971	2007	Ontario Power Generation	Ontario Power Generation	43.8107	-79.0689	Golden Horseshoe	Ontario	pressurized heavy water reactor
Canada	Pickering nuclear power plant	A3	542	retired	CANDU 500A	1972	2008	Ontario Power Generation	Ontario Power Generation	43.8107	-79.0689	Golden Horseshoe	Ontario	pressurized heavy water reactor
Canada	Pickering nuclear power plant	A4	542	operating	CANDU 500A	1973	NA	Ontario Power Generation	Ontario Power Generation	43.8107	-79.0689	Golden Horseshoe	Ontario	pressurized heavy water reactor
Canada	Pickering nuclear power plant	B5	540	operating	CANDU 500B	1983	NA	Ontario Power Generation	Ontario Power Generation	43.8096	-79.0639	Golden Horseshoe	Ontario	pressurized heavy water reactor
Canada	Pickering nuclear power plant	B6	540	operating	CANDU 500B	1984	NA	Ontario Power Generation	Ontario Power Generation	43.8096	-79.0639	Golden Horseshoe	Ontario	pressurized heavy water reactor
Canada	Pickering nuclear power plant	B7	540	operating	CANDU 500B	1985	NA	Ontario Power Generation	Ontario Power Generation	43.8096	-79.0639	Golden Horseshoe	Ontario	pressurized heavy water reactor
Canada	Pickering nuclear power plant	B8	540	operating	CANDU 500B	1986	NA	Ontario Power Generation	Ontario Power Generation	43.8096	-79.0639	Golden Horseshoe	Ontario	pressurized heavy water reactor
United States	Shearon Harris nuclear power plant	1	980	operating	WH 3LP (DRYAMB)	1987	NA	Progress Energy Carolinas INC	Progress Energy	35.6334	-78.9556	NA	North Carolina	pressurized water reactor
Canada	Darlington nuclear power plant	2	934	operating	CANDU 850	1990	NA	Ontario Power Generation	Ontario Power Generation	43.8697	-78.7239	Golden Horseshoe	Ontario	pressurized heavy water reactor
Canada	Darlington nuclear power plant	1	934	operating	CANDU 850	1992	NA	Ontario Power Generation	Ontario Power Generation	43.8697	-78.7239	Golden Horseshoe	Ontario	pressurized heavy water reactor
Canada	Darlington nuclear power plant	3	934	operating	CANDU 850	1993	NA	Ontario Power Generation	Ontario Power Generation	43.8697	-78.7239	Golden Horseshoe	Ontario	pressurized heavy water reactor
Canada	Darlington nuclear power plant	4	934	operating	CANDU 850	1993	NA	Ontario Power Generation	Ontario Power Generation	43.8697	-78.7239	Golden Horseshoe	Ontario	pressurized heavy water reactor
United States	Saxton nuclear power plant	NA	3	retired	unknown	1967	1972	Saxton Nuclear Experimental CO	Saxton Nuclear Experimental Reactor CORP	40.22601	-78.2417	NA	Pennsylvania	pressurized water reactor
United States	Brunswick nuclear power plant	2	960	operating	BWR-4 (Mark 1)	1975	NA	Progress Energy Carolinas INC	Progress Energy	33.9597	-78.0114	NA	North Carolina	boiling water reactor
United States	Brunswick nuclear power plant	1	990	operating	BWR-4 (Mark 1)	1977	NA	Progress Energy Carolinas INC	Progress Energy	33.9597	-78.0114	NA	North Carolina	boiling water reactor
United States	North Anna nuclear power plant	1	990	operating	WH 3LP (DRYSUB)	1978	NA	Virginia Electric Power CO	Dominion Energy	38.0601	-77.7897	NA	Virginia	pressurized water reactor
United States	North Anna nuclear power plant	2	1011	operating	WH 3LP (DRYSUB)	1980	NA	Virginia Electric Power CO	Dominion Energy	38.0601	-77.7897	NA	Virginia	pressurized water reactor
Canada	Nuclear Power Demonstration (NPD) nuclear power plant	NA	25	retired	CANDU	1962	1987	AECL	Ontario Hydro	46.1867	-77.6578	Eastern Ontario	Ontario	pressurized heavy water reactor
United States	Robert Emmett Ginna nuclear power plant	NA	608	operating	WH 2LP (DRYAMB)	1970	NA	Exelon	Exelon Generation CO LLC	43.2777	-77.3099	NA	New York	pressurized water reactor
United States	SM-1 nuclear power plant	NA	2	retired	unknown	1957	1973	US Department of Defense	United States Army	38.67653	-77.1466	NA	Virginia	pressurized water reactor
United States	Three Mile Island nuclear power plant	1	880	retired	B&W LLP (DRYAMB)	1974	2019	Exelon	Exelon Generation CO LLC	40.1539	-76.7248	NA	Pennsylvania	pressurized water reactor
United States	Three Mile Island nuclear power plant	2	959	retired	unknown	1978	1979	NA	General Public Utilities	40.1539	-76.7248	NA	Pennsylvania	pressurized water reactor
United States	Surry nuclear power plant	1	890	operating	WH 3LP (DRYSUB)	1972	NA	Dominion Resources INC	Dominion Energy	37.1661	-76.6986	NA	Virginia	pressurized water reactor
United States	Surry nuclear power plant	2	890	operating	WH 3LP (DRYSUB)	1973	NA	Dominion Resources INC	Dominion Energy	37.1661	-76.6986	NA	Virginia	pressurized water reactor
United States	Calvert Cliffs nuclear power plant	1	918	operating	CE 2LP (DRYAMB)	1975	NA	Exelon	Exelon Generation CO LLC	38.4344	-76.4417	NA	Maryland	pressurized water reactor
United States	Calvert Cliffs nuclear power plant	2	911	operating	CE 2LP (DRYAMB)	1977	NA	Exelon	Exelon Generation CO LLC	38.4344	-76.4417	NA	Maryland	pressurized water reactor
United States	Nine Mile Point nuclear power plant	1	642	operating	BWR-2 (Mark 1)	1969	NA	Exelon Nuclear; Electricité De France (EDF)	Exelon Generation CO LLC	43.5205	-76.4068	NA	New York	boiling water reactor
United States	Nine Mile Point nuclear power plant	2	1320	operating	BWR-5 (Mark 2)	1988	NA	Exelon Nuclear; Electricité De France (EDF)	Exelon Generation CO LLC	43.5205	-76.4068	NA	New York	boiling water reactor
United States	James A Fitzpatrick nuclear power plant	NA	849	operating	BWR-4 (Mark 1)	1975	NA	Exelon	Exelon Generation CO LLC	43.5223	-76.3955	NA	New York	boiling water reactor
United States	Peach Bottom nuclear power plant	1	42	retired	unknown	1967	1974	Exelon Generation CO LLC	Exelon Generation CO LLC	39.7589	-76.2687	NA	Pennsylvania	other
United States	Peach Bottom nuclear power plant	2	1412	operating	BWR-4 (Mark 1)	1974	NA	Exelon [50%]; PSEG Power [50%]	Exelon Generation CO LLC	39.7589	-76.2687	NA	Pennsylvania	boiling water reactor
United States	Peach Bottom nuclear power plant	3	1412	operating	BWR-4 (Mark 1)	1974	NA	Exelon [50%]; PSEG Power [50%]	Exelon Generation CO LLC	39.7589	-76.2687	NA	Pennsylvania	boiling water reactor
United States	Susquehanna nuclear power plant	1	1330	operating	BWR-4 (Mark 2)	1983	NA	PPL CORP (former Pennsylvania Power & Light CO (PP&L))	PPL Susquehanna LLC	41.0919	-76.1462	NA	Pennsylvania	boiling water reactor
United States	Susquehanna nuclear power plant	2	1330	operating	BWR-4 (Mark 2)	1985	NA	PPL CORP (former Pennsylvania Power & Light CO (PP&L))	PPL Susquehanna LLC	41.0919	-76.1462	NA	Pennsylvania	boiling water reactor
