Table_data_1	Table_data_date	Latitude	Longitude
"Tuesday, 6th. Moderate breezes and Clear weather these 24 Hours. A.M. found the Variation by the Mean of 5 Azimuth to be 21 degrees 40 minutes West, 3 Degrees more than what it was found Yesterday, which I cannot account for,* (* Cook, as all other navigators of his time, was unaware of the deviation of the compass caused by the iron of the ship.) as both Observations appeared to me to be equally well made. At 10.28 had an Observation of the sun and moon, which gave the Longitude 9 degrees 40 minutes West from Greenwich. By this Observation Cape Finister must lay in 8 degrees 52 minutes, and by that made yesterday in 8 degrees 40 minutes. The Mean of the two is 8 degrees 46 minutes West of Greenwich the Longitude of the Cape,* (* The correct longitude is 9 degrees 15 minutes West.) its latitude being 42 degrees 53 minutes North. Wind North-West; course South 42 degrees West; distance 70 miles; latitude 42 degrees 1 minute North, longitude 9 degrees 50 minutes West; at noon, Cape Finister North 42 degrees East, 70 miles."	1768-09-06	42.8833333333333	-9.83333333333333
"Wednesday, 7th. Moderate breezes and Clear weather; found the Variation to be 21 degrees 4 minutes West. Wind West-North-West; course South by West; distance 92 miles; latitude 40 degrees 29 minutes North, longitude 10 degrees 11 minutes West; at noon, Cape Finister North 13 degrees East, 49 leagues."	1768-09-07	40.4833333333333	-10.1833333333333
"Friday, 9th. First part fresh Gales; remainder moderate breezes and fine, Clear weather. Set up the Topmast rigging, and found the Variation to be 19 degrees 50 minutes West. Wind West by North to North-East; course South 40 degrees West; distance 116 miles; latitude 37 degrees 4 minutes North, longitude 11 degrees 33 minutes West; at noon, Cape Finister North 20 degrees East, 124 leagues."	1768-09-09	37.0666666666667	-11.55
"Saturday, 10th. A steady, fresh breeze and fine Clear weather. Found the Variation of the Compys by the Evening and Morning Amplitude and by 2 Azimuth to be 20 degrees 59 minutes West. Wind North-East by East; course South 36 minutes West; distance 130 miles; latitude 35 degrees 20 minutes North, longitude 13 degrees 28 minutes West; at noon, Cape Finister North 24 degrees East, 166 leagues."	1768-09-10	35.3333333333333	-13.4666666666667
"Sunday, 11th. The same Winds and weather Continue. Found the Variation to be this Evening 18 degrees 54 minutes, and in the Morning 17 degrees 58 minutes West, they both being the mean result of several good Observations. Wind North-East by East, North by East; course South 32 degrees West; distance 94 miles; latitude 34 degrees 1 minute North, longitude 14 degrees 29 minutes West; at noon, Cape Finister North 26 1/2 degrees East, 198 leagues."	1768-09-11	34.4833333333333	-14.4833333333333
"Monday, 12th. Moderate breezes and fine Clear weather. At 6 a.m. the Island of Porto Santo bore North-West by West, distance 9 or 10 leagues. Hauld the Wind to the westward at noon, the Deserters extending from West-South-West to South-West by South, the Body of Madeira West 1/2 South, and Porto Santo North-North-West 1/2 West. Wind North-North-West; course South 40 degrees West; distance 102 miles; latitude 32 degrees 43 minutes North, longitude 15 degrees 53 minutes West."	1768-09-12	32.7166666666667	-15.8833333333333
"Sunday, 18th. Ditto Weather. P.M. received on board 270 pounds of fresh Beef, and a Live Bullock charged 613 pounds. Compleated our Wine and Water, having received of the former 3032 Gallons, of the Latter 10 Tuns. A.M. unmoor'd and prepar'd for Sailing. Funchall, in the Island of Madeira, by Observations made here by Dr. Eberton, F.R.S., lies in the latitude of 32 degrees 33 minutes 33 seconds North and longitude West from Greenwich 16 degrees 49 minutes,* (* Modern determination is 32 degrees 38 minutes North, 16 degrees 54 minutes West.) the Variation of the Compass 15 degrees 30 minutes West, decreasing as he says, which I much doubt;* (* Cook was right: the variation was increasing.) neither does this Variation agree with our own Observations. The Tides flow full, and Change North and South, and rise Perpendicular 7 feet at Spring Tides and 4 feet at Niep tides. We found the North point of the Diping Needle, belonging to the Royal Society, to Dip 77 degrees 18 minutes. The Refreshments for Shipping to be got at this place are Wine, Water, Fruit of Several Sorts, and Onions in Plenty, and some Sweatmeats; but Fresh Meat and Poultry are very Dear, and not to be had at any rate without Leave from the Governour. Wind southerly, East-South-East, South-West."	1768-09-18	32.55	-16.8166666666667
"Tuesday, 20th. Light Airs and Clear weather. P.M. took several Azimuth, which gave the Variation 16 degrees 30 minutes West. Put the Ship's Company to three Watches. Wind variable; course South 21 degrees 30 minutes West; distance 28 miles; latitude 31 degrees 17 minutes, longitude 17 degrees 19 minutes West; at noon, Funchall, Island of Madeira, North 13 degrees East, 76 miles."	1768-09-20	-31.2833333333333	-17.3166666666667
"Friday, 23rd. Light breezes and Clear weather. At 6 a.m. saw the Peak of Teneriff bearing West by South 1/2 South, and the Grand Canaries South 1/2 West. The Variation of the Compass from 17 degrees 22 minutes to 16 degrees 30 minutes, Wind South-West, North-East; course South 26 degrees West; distance 54 miles; latitude 28 degrees 51 minutes North, longitude 15 degrees 50 minutes West; at noon, Funchal North 12 degrees 45 minutes West, 77 leagues."	1768-09-23	28.85	-15.8333333333333
"Friday, 30th. A Steady breeze and Pleasant weather. At 6 a.m. saw the Island of Bonavista (one of the Cape de Verd islands), Extending from South by East to South-West by South, distance 3 or 4 Leagues. Ranged the East side of this Island at the Distance of 3 or 4 miles from the Shore, until we were obliged to Haul Off to avoid a Ledge of Rocks which stretched out South-West by West from the Body or South-East Point of the Island 1 1/2 leagues. Had no ground with 40 fathoms a Mile without this Ledge. The Island of Bonavista is in Extent from North to South about 5 leagues, is of a very uneven and hilly Surface, with low sandy beaches on the East side. The South-East part of the Island, from which I take my Departure, by an Observation this day at Noon lies in the latitude of 16 degrees North, and according to our run from Madeira in the longitude of 21 degrees 51 minutes West from Greenwich, and South 21 degrees West; 260 leagues from Tenerriff. Drawings Numbers 1 and 2 represent the appearance of the East side of this Island, where (2) is the South-East point, with the hill over it, which is high, of a round Figure, and the southermost on the Island. Wind North-East; course South 12 degrees 30 minutes West; distance 97 miles; latitude 15 degrees 37 minutes North per observation; Teneriffe, North 20 degrees 43 minutes East, 262 1/3 leagues; at noon the hill on the South-East Point of the Island Bonavista North 69 degrees West, distant from the shore 3 leagues."	1768-09-30	16.85	-21.85
"Sunday, 2nd. First part a Steady breeze and pleasant weather, remainder light breezes and Cloudy. At noon found the Ship by Observation ahead of the Log 7 miles. Wind North by East, North-North-West; course South 1 degree West; distance 92 miles; latitude 12 degrees 34 minutes North, longitude 22 degrees 10 minutes West; at noon Bonavista, South-East point, North 5 degrees 45 minutes East, 69 leagues."	1768-10-02	12.5666666666667	-22.1666666666667
"Monday, 3rd. Cloudy weather, with light winds and Calms. Variation by this Evening Amplitude South 8 degrees 49 minutes West. A.M. hoisted out a Boat to try if there was any Current; found one setting to the South-East at the rate of 3/4 of a Mile per hour. Wind North, calm, South-South-West 1/2 West; course South 3 degrees 30 minutes East; distance 20 miles; latitude 12 degrees 14 minutes North, longitude 22 degrees 10 minutes West; at noon, Bonavista, South-East point, North 5 degrees East, 76 leagues."	1768-10-03	12.2333333333333	-22.1666666666667
"Tuesday, 4th. Calm for the Greatest part of the 24 Hours. By an Observation we had this Morning of the Sun and Moon found our Selves in the Longitude of 22 degrees 32 minutes 30 seconds West from Greenwich; that by account is 21 degrees 58 minutes, the Difference being 34 miles Westerly, which does not agree with the Setting of the Current, for having try'd it twice to-day and found it set to the East-South-East 1 Mile per Hour, and at the same time found the Ship to the Southward of the Log by the Noon Observation 10 miles. Served Portable soup and Sour kroutt to the Ship's Company. Wind variable; course South 53 degrees West; distance 17 miles; latitude 11 degrees 53 minutes North, longitude 22 degrees 33 minutes West; at noon, Bonavista, South-East point, North 2 degrees East, 82 leagues."	1768-10-04	11.8833333333333	-22.55
"Wednesday, 5th. Light breezes of Wind, sometimes Clear and sometimes Cloudy weather. Variation 6 degrees 10 minutes West by an Amplitude and Azimuth this evening. At noon found the Ship by the Observed Latitude 7 Miles to the Southward of the Log, and by the Observed Longitude 30 degrees to the Eastward of Yesterday's Observations; and as these Observations for finding the Longitude (if carefully observed with good Instrument) will generally come within 10 or 15 Miles of each other, and very often much nearer, it therefore can be no longer in Doubt but that there is a Current setting to the Eastward;* (* This was the Counter Equatorial Current.) yet we cannot have had this Current long, because the Longitude by account and that by Observation agree to-day, but Yesterday she was 28 miles to the Westward of the Observation. Wind calm, North-East, East; course South 29 degrees East; distance 57 miles; latitude 10 degrees 56 minutes North, longitude 22 degrees 3 minutes West; at noon, Bonavista, South-East point, North 2 degrees East, 101 leagues."	1768-10-05	30.9333333333333	-30.9333333333333
"Thursday, 6th. First part light Breezes and Cloudy; Middle frequent heavy Squalls, with rain, till towards Noon when we had again little wind. Found the Variation by the mean of 3 Azimuth, taken this Morning, to be 8 degrees 52 minutes West, which makes the Variation found Yesterday doubtful. Wind North-East, South-East, Southerly; course South 10 degrees 30 minutes West; distance 77 miles; latitude 9 degrees 40 minutes North, longitude 22 degrees 28 minutes West; at noon, Bonavista, South-East point, North 4 degrees East, 128 leagues."	1768-10-06	9.66666666666667	-22.4666666666667
"Friday, 7th. Variable light Airs and Calm all these 24 Hours. At Noon found the Current to set South-East 1/4 South one Mile per hour, and yet by Observation at Noon I find the Ship 12 Miles to the Northward of Account, a Circumstance that hath not hapned for many days, and which I believe to be owing to the heavy Squalls we had Yesterday from the South-East, which obliged us to put frequently before the Wind. Wind Southerly, calm, Northerly; course South 5 degrees West; distance 10 miles; latitude 9 degrees 42 minutes North, longitude 22 degrees 19 minutes West; at noon, Bonavista, South-East point, North 4 degrees East, 127 leagues."	1768-10-07	9.7	-22.3166666666667
"Saturday, 8th. First part, light Airs and Clear weather; Middle, Squally, with Thunder and Lightning all round; latter part, Moderate breezes and Clear weather. Had several Azimuths both in the Evening and Morning, which gave the Variation South 8 degrees 30 minutes West. At Noon found by Observation that the Ship had outrun the Log 20 Miles, a Proof that there is a Current setting to the Southward. Wind North-East by North to East-South-East; course South by East; distance 78 miles; latitude 8 degrees 25 minutes North, longitude 22 degrees 4 minutes West; at noon, Bonavista, South-East point, North 1 degree 45 minutes East, 152 leagues."	1768-10-08	8.41666666666667	-22.0666666666667
"Sunday, 9th. Light Airs and fine Clear weather. Found the Variation by a great Number of Azimuth made this Afternoon to be 8 degrees 21 minutes 30 seconds West, and by the Morning Amplitude 7 degrees 48 minutes. At Noon try'd the Current, and found it set North-North-West 3/4 West, 1 1/8 miles per hour. The Shifting of the Current was conformed by the Observed Latitude Wind East-South-East; course South 16 degrees West; distance 29 miles; latitude 7 degrees 58 minutes North, longitude 22 degrees 13 minutes West; at noon, Bonavista, South-East point, North 2 degrees 40 minutes, 161 leagues."	1768-10-09	16.9666666666667	-22.2166666666667
"Monday, 10th. First part, light breezes and Clear weather; Middle, squally, with heavy Showers of Rain; latter, Variable, light Airs and Calm and dark gloomy weather. At 3 p.m. found the Current to set North-North-East 1/4 East, 1 1/4 Mile per Hour, and at Noon found it to set North-East 3/4 North at the same rate, and the Variation to be 8 degrees 39 minutes West by the Mean of Several Azimuth. Wind South-East by East, Southerly; course South; distance 10 miles; latitude 7 degrees 48 minutes North; longitude 22 degrees 13 minutes West; at noon, Bonavista, South-East point, North 3 degrees East, 164 leagues."	1768-10-10	7.8	-22.2166666666667
"Tuesday, 11th. Very Variable weather, with frequent Squalls rain, and Lightning. By the Observed Latitude at Noon I find the Ship hath only made 22 Miles Southing since the last Observation two days ago, whereas the Log gives 55 Miles, a Proof that there is a Current setting to the Northward. Wind South-East; course South 52 degrees West; distance 18 miles; latitude 7 degrees 36 minutes North, longitude 22 degrees 8 minutes West; at noon, Bonavista, South-East point, North 3 degrees East, 168 leagues."	1768-10-11	52.6	-22.1333333333333
"Wednesday, 12th. Much the same weather as Yesterday the first part, the remainder mostly Calm and cloudy weather. A.M. try'd the Current and found it set South by West 1/4 West, 1/2 Mile per Hour, which is not agreeable to yesterday's remark. Wind variable; course South 33 degrees 30 minutes West; distance 20 miles; latitude 7 degrees 21 minutes North, longitude 22 degrees 39 minutes West; at noon Bonavista North 5 degrees East, 174 leagues."	1768-10-12	7.35	-22.65
"Thursday, 13th. Light Airs of Wind, with some heavy showers of rain. Variation by Azimuth and Amplitude this Evening 8 degrees 46 minutes West. At Noon try'd the Current, and found it set South 3/4 East, 1/3 of a Mile per Hour; but finding the Observation and Log agree, I am inclinable to think it hath had no effect upon the Ship. Wind South-West, West-South-West; course South 16 degrees 45 minutes East; distance 21 miles; latitude 7 degrees 1 minute North, longitude 22 degrees 32 minutes West; at noon, Bonavista, South-East point, North 5 degrees East, 181 leagues."	1768-10-13	7.53333333333333	-22.5333333333333
"Friday, 14th. Dark, gloomy weather, with much rain, the Wind Variable from West-South-West to South-South-East, sometimes on one Tack and sometimes on the other. Wind West-South-West to South-South-East; course South 5 degrees East; distance 24 miles; latitude 6 degrees 38 minutes North, longitude 22 degrees 30 minutes West; at noon, Bonavista, South-East point, North 3 degrees 15 minutes, 188 leagues."	1768-10-14	6.63333333333333	-22.5
"Saturday, 15th. First part, little wind and Cloudy; Middle, Squally, with rain; latter part, light Airs and Clear weather. A little before Noon took several Observations of the sun and moon, the mean result of which gave the Longitude to be 23 degrees 46 minutes West from Greenwich, which is 1 degree 22 minutes more Westerly than that by account carried on from the last Observation; and the Observed Latitude is 24 Miles more Northerly than the Log since the Last Observation 2 days ago, all of which shows that the North-Westerly Current hath prevailed for this some Days past. Wind South-South-West to South-East; course South 30 degrees East per log; distance 12 miles; latitude 6 degrees 50 minutes North; longitude 22 degrees 23 minutes West per account, 23 degrees 46 minutes per sun and moon; at noon, Bonavista, South-East point, North by East, 187 leagues."	1768-10-15	30.8333333333333	-22.3833333333333
"Sunday, 16th. First part Calm, the remainder Gentle breezes and fine, Pleasant weather. At 3 hours 30 minutes 39 seconds Apparent time p.m. the observed distance of the sun and moon's nearest Limb was 52 degrees 42 minutes 30 seconds; the Altitude of the sun's lower limb 32 degrees 39 minutes; the Altitude of the moon's lower limb 58 degrees 36 minutes; the longitude of the Ship from the aforegoing Observations 23 degrees 33 minutes 33 seconds West from Greenwich, differing 13 minutes from those made this Morning or Yesterday, the Ship laying all the time becalmed. Variation of the Compass 8 degrees 45 minutes West. Wind South-East, variable, North-East; course South 2 degrees East; distance 72 miles; latitude 5 degrees 38 minutes North, longitude 23 degrees 45 minutes West; at noon, Bonavista, South-East point, North 5 degrees 15 minutes East, 208 leagues."	1768-10-16	5.63333333333333	-23.75
"Monday, 17th. Variable, light Airs and Calm clear weather. 1/2 past 1 p.m. took two Distances of the sun and moon, the first of which gave the Longitude 23 degrees 45 minutes 56 seconds, and the last 23 degrees 44 minutes West, the difference being not quite two miles, which shows how near to one another these observations can be made. Wind South, South-East, variable; course South by West 1/2 West; distance 11 miles; latitude 5 degrees 17 minutes North, longitude 23 degrees 47 minutes West; at noon, Bonavista, South-East point, North 5 degrees 15 minutes East, 212 leagues."	1768-10-17	5.28333333333333	-23.7833333333333
"Tuesday, 18th. Sometimes little wind, sometimes Squally, with rain and Lightning. Wind South to East-South-East; course South 48 degrees West; distance 45 miles; latitude 4 degrees 47 Minutes North, longitude 24 degrees 23 minutes West; at noon, Bonavista, South-East point, North 12 degrees East, 229 leagues."	1768-10-18	4.78333333333333	-24.3833333333333
"Wednesday, 19th. Fresh breezes and Cloudy weather. The Observed Latitude to the Northward of that given by the Log 9 miles, which I suppose must be owing to a Current. Wind South by East to South-East by South; course South 42 degrees West; distance 88 miles; latitude 3 degrees 44 minutes North, longitude 25 degrees 23 minutes West; at noon, Bonavista, South-East point, North 14 degrees East, 253 leagues."	1768-10-19	42.7333333333333	-25.3833333333333
"Thursday, 20th. A Genteel gale and Clear weather. At a little before 5 p.m. had an Observation of the sun and moon, which gave the Longitude 25 degrees 46 minutes West from Greenwich, which is more Westerly than that by account carried on from the last Observation; and the Observed latitude being again to the Northward shows that there must be a current setting between the North and West. Wind South by East to South-East by South; course South 52 degrees West; distance 48 miles; latitude 3 degrees 16 minutes North, longitude 26 degrees 20 minutes West; at noon, Bonavista, North 18 degrees 30 minutes East, 270 leagues."	1768-10-20	52.2666666666667	-26.3333333333333
"Friday, 21st. A moderate breeze, and for the most part clear weather. Longitude per the Mean of 2 Observations of the sun and moon made at 4 hours 45 minutes and at 4 hours 54 minutes p.m., 26 degrees 33 minutes West. Variation of the Compass 4 degrees 7 minutes West, and the Observed Latitude at Noon to the Northward of the Log 7 Miles. Wind South-East to South-South-East; course South 58 degrees West; distance 57 miles; latitude 2 degrees 46 minutes North, longitude 27 degrees 11 minutes West; at noon, Bonavista South-East point, North 21 degrees East, 281 leagues."	1768-10-21	58.7666666666667	-27.1833333333333
"Saturday, 22nd. Moderate breezes and fine, pleasant weather. Variation 3 degrees 17 minutes West. Wind South-East by South; course South 43 degrees 15 minutes West; distance 87 miles; latitude 1 degree 40 minutes North, longitude 28 degrees 12 minutes West; at noon, Bonavista, South-East point, North 23 degrees East, 312 leagues."	1768-10-22	1.66666666666667	-28.2
"Monday, 24th. First part ditto weather; remainder fresh Breezes and Cloudy, with some flying Showers of rain. Variation per Azimuth this morning 3 degrees West. At Noon by Observation found the Ship 11 Miles ahead of the Log. Wind South by East to South-East by South; course South 49 degrees West; distance 50 miles; latitude 1 degree 7 minutes North; longitude 28 degrees 50 minutes West; at noon, Bonavista, South-East point, North 25 degrees East, 328 leagues."	1768-10-24	1.11666666666667	-28.8333333333333
"Tuesday, 25th. A Genteel breeze and Clear weather, with a Moist Air. Soon after sunrise found the Variation of the Compass to be 2 degrees 24 minutes West, being the Mean result of several very good Azimuths. This was just before we crossed the Line in the Longitude of 29 degrees 29 minutes West from Greenwich. We also try'd the Diping Needle belonging to the Royal Society, and found the North point to Dip 26 degrees below the Horizon; but this Instrument cannot be used at Sea to any great degree of accuracy on account of the Motion of the Ship, which hinders the Needle from resting. However, as the Ship was pretty steady, and by means of a Swinging Table I had made for that purpose, we could be Certain of the Dip to two Degrees at most. The Observed Latitude and that by account nearly Agree. Wind South-East to South-East by East; course South 30 degrees West; distance 95 miles; latitude 0 degrees 15 minutes South, longitude 29 degrees 30 minutes West; at noon, Bonavista, South-East point, North 26 degrees East, 358 leagues."	1768-10-25	-30.25	-29.5
"Wednesday, 26th. First part light Airs and Cloudy weather, the remainder a Moderate Breeze and Cloudy. After we had got an observation, and it was no longer Doubted that we were to the Southward of the Line, the Ceremony on this occasion practis'd by all Nations was not Omitted. Every one that could not prove upon the Sea Chart that he had before Crossed the Line was either to pay a Bottle of Rum or be Duck'd in the Sea, which former case was the fate of by far the Greatest part on board; and as several of the Men chose to be Duck'd, and the weather was favourable for that purpose, this Ceremony was performed on about 20 or 30, to the no small Diversion of the Rest. Wind South-East to South-South-East; course South 31 degrees West; distance 77 miles; latitude 1 degree 21 minutes South, longitude 30 degrees 18 minutes West; at noon, Bonavista, South-East point, North 25 degrees 30 minutes East, 385 leagues."	1768-10-26	-1.35	-30.3
"Thursday, 27th. Fresh Gales and Close Cloudy weather. Variation 2 degrees 48 minutes West. Wind South-South-East to South-East; course South 38 degrees 15 minutes West; distance 79 miles; latitude 2 degrees 23 minutes South, longitude 31 degrees 7 minutes West; at noon, Bonavista, South-East point, North 26 degrees East, 410 leagues."	1768-10-27	-2.38333333333333	-31.1166666666667
"Friday, 28th. Fresh Breeze and fine Clear weather. At a little past 1 a.m. Longitude in by the 3 following Observations--viz., by the Moon and the star Arietis, 32 degrees 27 minutes; by the Moon and Pollux, 32 degrees 0 minutes 15 seconds; by ditto, 31 degrees 48 minutes 32 seconds; the mean of the whole is 32 degrees 5 minutes 16 seconds West from Greenwich, which is 31 minutes more Westerly than the longitude by account carried on since the last Observation. The two first observations were made and computed by Mr. Green, and the last by myself. The star Arietis was on one side of the Moon and Pollux on the other. This day at Noon, being nearly in the latitude of the Island Ferdinand Noronha, to the Westward of it by some Charts and to the Eastward by others, was in Expectation of seeing it or some of those Shoals that are laid down in most Charts between it and the Main; but we saw neither one nor a Nother. We certainly passed to the Eastward of the Island, and as to the Shoals, I don't think they Exhist, grounding this my Opinion on the Journal of some East India Ships I have seen who were detain'd by Contrary winds between this Island and the Main, and being 5 or 6 Ships in Company, doubtless must have seen some of them did they lay as Marked in the Charts.* (* There is a very dangerous reef, As Rocas, 80 miles west of Fernando Noronha. The Endeavour passed 60 miles east of latter.) Wind South-East to South-East by East; course South 33 degrees West; distance 93 miles, latitude 3 degrees 41 minutes South, longitude 32 degrees 29 minutes West."	1768-10-28	-33.6833333333333	-32.4833333333333
"Sunday, 30th. A Steady breeze, and for the most part close cloudy weather. Variation by several Azimuths 1 degree 31 minutes West. At noon the observed latitude 7 miles southward of account. Wind East-South-East; course South 3/4 West; distance 107 miles; latitude 7 degrees 8 minutes South, longitude 33 degrees 4 minutes West."	1768-10-30	-7.13333333333333	-33.0666666666667
"Monday, 31st. A Fresh breeze and Clear weather. Variation 0 degrees 15 minutes West. Observed Latitude again to the Southward of the Log. Wind East to East-South-East; course, South 1/2 West; distance 114 miles; latitude 9 degrees 1 minute South, longitude 33 degrees 16 minutes West."	1768-10-31	-9.26666666666667	-33.2666666666667
"Thursday, 3rd. A Fresh Trade wind and fair weather. Variation per Azimuth this Evening 0 degrees 47 minutes East, and at a little past 9 a.m. longitude in per sun and moon 33 degrees 0 minutes West of Greenwich. Wind East by South-East; course South 15 degrees West; distance 128 miles; latitude 14 degrees 51 minutes South, longitude 33 degrees 7 minutes West."	1768-11-03	-14.85	-33.1166666666667
"Friday, 4th. A Steady Gale and fair weather. P.M. Variation per Azimuth 1 degree 29 minutes West, ditto 1 degree 28 minutes West, and by the Amplitude 1 degree 12 minutes West; mean 1 degree 23 minutes West, by which it appears that we have again Crossed the Line of no Variation. At 1/2 past 9 a.m. the longitude of the Ship, per Observation of the sun and moon, 33 degrees 26 minutes 30 seconds. Wind East by South; course South 19 degrees 30 minutes West; distance 125 miles; latitude 16 degrees 49 minutes South, longitude 33 degrees 37 minutes West."	1768-11-04	-16.8166666666667	-33.6166666666667
"Saturday, 5th. Fine pleasant weather. Variation per Azimuth this morning 3 degrees 21 minutes East, which makes me Doubtful of the Variation found yesterday, tho' at the time I had not the least room to doubt of the Accuracy of the Observations. Longitude per Observation 34 degrees 43 minutes 30 seconds West. Wind East to North-East; course South 30 degrees 35 minutes West; distance 109 miles; latitude 18 degrees 22 minutes South, longitude 34 degrees 50 minutes West."	1768-11-05	-18.3666666666667	-34.8333333333333
"Sunday, 6th. First and Latter part squally, with heavy Showers of rain; middle moderate and fair. I now determined to put into Rio de Janeiro in preferance to any other port in Brazil or Falkland Islands, for at this place I knew we could recruit our Stock of Provisions, several Articles of which I found we should in time be in want of, and at the same time procure Live Stock and refreshment for the People; and from the reception former Ships had met with here I doubted not but we should be well received. Wind North-North-East, variable, South; course South 55 degrees West; distance 74 miles; latitude 19 degrees 3 minutes South, longitude 35 degrees 50 minutes West."	1768-11-06	-19.05	-35.8333333333333
"Monday, 7th. Moderate breezes and Clear weather. P.M. found the Variation to be 4 degrees 49 minutes East. At 6 Sounded and had 32 fathoms Water; the Bottom Coral Rocks, fine Sand and Shells, which Soundings we carried upon a South-West 1/2 West Course 9 or 10 leagues, and then had no ground with 100 fathom. We were by our account and per run afterwards 54 Leagues East from the Coast of Brazil and to the Southward of the Shoals called Abrollos, as they are laid down in Most Charts. Wind South-East to North-East; course South 58 degrees West; distance 68 miles; latitude 19 degrees 46 minutes South, longitude 36 degrees 50 minutes West."	1768-11-07	-19.7666666666667	-36.8333333333333
